Id,SalePrice
1461,107838.97
1462,134128.58
1463,146718.9
1464,154829.39
1465,133647.38
1466,152329.27
1467,145009.67
1468,144509.31
1469,140951.86
1470,106153.74
1471,151817.39
1472,83235.2
1473,84277.58
1474,124888.01
1475,101516.45
1476,259975.6
1477,200105.98
1478,207367.36
1479,209185.14
1480,473236.97
1481,206728.31
1482,161501.42
1483,164150.39
1484,149711.11
1485,159496.9
1486,159928.08
1487,225698.86
1488,228226.45
1489,175577.0
1490,163829.17
1491,155294.17
1492,80998.47
1493,135244.97
1494,197202.92
1495,210336.27
1496,222987.62
1497,145557.94
1498,131870.45
1499,137066.58
1500,130462.36
1501,154954.64
1502,137200.22
1503,207472.83
1504,180779.58
1505,161901.33
1506,144888.03
1507,160050.06
1508,150224.03
1509,142450.78
1510,114058.875
1511,119380.555
1512,131910.3
1513,135861.98
1514,136051.0
1515,146450.64
1516,123358.79
1517,131578.83
1518,116822.15
1519,148036.05
1520,109004.65
1521,110849.71
1522,123278.45
1523,108762.46
1524,113775.945
1525,113479.9
1526,120531.24
1527,96161.38
1528,118430.43
1529,123576.07
1530,140482.89
1531,104024.67
1532,91096.125
1533,115586.1
1534,105069.64
1535,74227.22
1536,58151.75
1537,58678.832
1538,123744.47
1539,167087.62
1540,87274.71
1541,131143.39
1542,109151.46
1543,144583.36
1544,54347.625
1545,96151.37
1546,103787.805
1547,101326.01
1548,117648.74
1549,101866.586
1550,97968.01
1551,74567.79
1552,106337.73
1553,112937.61
1554,115973.164
1555,141301.95
1556,85104.13
1557,107938.35
1558,108508.52
1559,46648.246
1560,129806.14
1561,106152.52
1562,115860.695
1563,89637.86
1564,115333.164
1565,128020.05
1566,199642.25
1567,71547.336
1568,181719.78
1569,110462.35
1570,115963.55
1571,112208.45
1572,115627.08
1573,160252.36
1574,111636.586
1575,172544.23
1576,173173.6
1577,150666.12
1578,119683.47
1579,118325.33
1580,154239.23
1581,124562.48
1582,106383.26
1583,196180.53
1584,170599.52
1585,121945.48
1586,67137.586
1587,106602.61
1588,108315.84
1589,108428.13
1590,115047.2
1591,89431.99
1592,98392.01
1593,108904.5
1594,125357.2
1595,99454.72
1596,164858.05
1597,143715.7
1598,166485.02
1599,122737.67
1600,125542.07
1601,67867.46
1602,116670.734
1603,59805.44
1604,207360.17
1605,171922.0
1606,151555.14
1607,135387.7
1608,179795.25
1609,182864.89
1610,151674.19
1611,134248.3
1612,116171.7
1613,103936.664
1614,82485.8
1615,76792.9
1616,81320.63
1617,81306.29
1618,111934.16
1619,118486.76
1620,140311.14
1621,111277.08
1622,124940.44
1623,167883.64
1624,153148.67
1625,105624.336
1626,133347.33
1627,155962.83
1628,183234.81
1629,146848.78
1630,253623.38
1631,201300.14
1632,179155.3
1633,156726.31
1634,154702.98
1635,142533.03
1636,130615.92
1637,156393.27
1638,163132.88
1639,151555.06
1640,179125.61
1641,146363.33
1642,171952.83
1643,180962.39
1644,189742.33
1645,155356.36
1646,125719.375
1647,135571.95
1648,107330.95
1649,123372.305
1650,110429.34
1651,114192.805
1652,83258.96
1653,84207.45
1654,126986.88
1655,105090.97
1656,122373.39
1657,127750.2
1658,128735.51
1659,112960.71
1660,125613.07
1661,250861.67
1662,243070.67
1663,243555.52
1664,374996.78
